Trajectory ID,sample_group,CONDUCTIVITY,Transference Number,Li Diffusivity,TFSI Diffusivity,SMILES,Degree of Polymerization,Density,Molality,design_condition,PSMILES,pred_log10_cond,pred_cond,prediction_source,polybert_exact_available,candidate_rank_by_pred_cond,repeat_heavy_atoms,target_polymer_heavy_atoms,estimated_polymer_heavy_atoms,condition_pool_index,condition,condition_row_index,smiles,baseline_pred_log10_conductivity_existing,baseline_pred_log10_conductivity_refit,weighted_pred_log10_conductivity,baseline_pred_conductivity_s_cm,weighted_pred_conductivity_s_cm,baseline_rank,weighted_rank,rank_change_toward_top,baseline_hit_ge_1e4,weighted_hit_ge_1e4,selected_weighted_model,deployment_fit,embedding_model
946267,LOW_middle_stratified,2.7234730756790576e-05,0.0,,,[*]CNC(=O)OC(C=C)NC(=O)C([*])(C)C#C,10,1.3,1.42,LOW,[*]CNC(=O)OC(C=C)NC(=O)C([*])(C)C#C,-4.564876913815418,2.7234730756790576e-05,distilled_from_cached_polybert_ridge_predictions,False,26268,15,150,150,410,LOW,410,[*]CNC(=O)OC(C=C)NC(=O)C([*])(C)C#C,-4.564876913815418,-4.631211550831945,-4.501315885491002,2.337698236217472e-05,3.152710654958055e-05,30969,26903,4066,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
940962,LOW_middle_stratified,2.993250006476451e-05,0.0,,,[*]CNC(=O)OC(C)(N)OC(C)C([*])(C)C#C,10,1.3,1.42,LOW,[*]CNC(=O)OC(C)(N)OC(C)C([*])(C)C#C,-4.5238570078846,2.993250006476451e-05,distilled_from_cached_polybert_ridge_predictions,False,20963,15,150,150,27060,LOW,27060,[*]CNC(=O)OC(C)(N)OC(C)C([*])(C)C#C,-4.5238570078846,-4.428152909242671,-4.530075729143156,3.731187645703298e-05,2.9506946609259882e-05,13920,29679,-15759,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
937091,LOW_middle_stratified,3.240654407425381e-05,0.0,,,[*]COCC(CC(C)C)C([*])(O)CC(C)NC,10,1.3,1.42,LOW,[*]COCC(CC(C)C)C([*])(O)CC(C)NC,-4.489367280893373,3.240654407425381e-05,distilled_from_cached_polybert_ridge_predictions,False,17092,15,150,150,29638,LOW,29638,[*]COCC(CC(C)C)C([*])(O)CC(C)NC,-4.489367280893373,-4.517036838330236,-4.479118042862928,3.0406270984389255e-05,3.3180425965753756e-05,20758,24731,-3973,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
929539,LOW_middle_stratified,3.904832965276624e-05,0.0,,,[*]CNC(=O)OC(CC)OC(=O)OC([*])(O)C#C,10,1.3,1.42,LOW,[*]CNC(=O)OC(CC)OC(=O)OC([*])(O)C#C,-4.408397538946777,3.904832965276624e-05,distilled_from_cached_polybert_ridge_predictions,False,9540,16,150,160,43832,LOW,43832,[*]CNC(=O)OC(CC)OC(=O)OC([*])(O)C#C,-4.408397538946777,-4.4645402186401455,-4.418406128599807,3.4313086205979924e-05,3.815872642654934e-05,16501,19296,-2795,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
925927,LOW_middle_stratified,4.4450465705557176e-05,0.0,,,[*]CC(=O)CNCC=CCOC(=O)OC([*])(C)CC,9,1.3,1.42,LOW,[*]CC(=O)CNCC=CCOC(=O)OC([*])(C)CC,-4.352123684585912,4.4450465705557176e-05,distilled_from_cached_polybert_ridge_predictions,False,5928,17,150,153,33604,LOW,33604,[*]CC(=O)CNCC=CCOC(=O)OC([*])(C)CC,-4.352123684585912,-4.406920025258061,-4.378153474760788,3.9181402248758767e-05,4.186455943530428e-05,12481,16207,-3726,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
923637,LOW_middle_stratified,5.014912241631241e-05,0.0,,,[*]NCCNC(=O)NC([*])(C)NC(=O)CN(CC)CC,9,1.3,1.42,LOW,[*]NCCNC(=O)NC([*])(C)NC(=O)CN(CC)CC,-4.2997366625057305,5.014912241631241e-05,distilled_from_cached_polybert_ridge_predictions,False,3638,18,150,162,7665,LOW,7665,[*]NCCNC(=O)NC([*])(C)NC(=O)CN(CC)CC,-4.2997366625057305,-4.11984175215101,-4.096512549120218,7.588540352372491e-05,8.007324906730743e-05,3379,3847,-468,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920009,LOW_top,0.0001999998556258,0.0,,,[*]CNCCOC([*])=O,22,1.3,1.42,LOW,[*]CNCCOC([*])=O,-3.698970317840576,0.0001999998556258,cached_polybert_ridge_exact,True,10,7,150,154,221,LOW,221,[*]CNCCOC([*])=O,-3.698970317840576,-3.6990113774766646,-3.8569420012395934,0.00019998094787213627,0.0001390138267725484,2149,2266,-117,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920008,LOW_top,0.0002019400741035,0.0,,,[*]CCOCCOC([*])=O,19,1.3,1.42,LOW,[*]CCOCCOC([*])=O,-3.694777488708496,0.0002019400741035,cached_polybert_ridge_exact,True,9,8,150,152,13453,LOW,13453,[*]CCOCCOC([*])=O,-3.694777488708496,-3.6948083503500895,-3.6961582771781565,0.0002019257244375009,0.00020129904884798138,2147,2158,-11,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920007,LOW_top,0.0002048826011759,0.0,,,[*]COCCNC([*])=O,22,1.3,1.42,LOW,[*]COCCNC([*])=O,-3.688494920730591,0.0002048826011759,cached_polybert_ridge_exact,True,8,7,150,154,5672,LOW,5672,[*]COCCNC([*])=O,-3.688494920730591,-3.688531526900076,-3.7023641807725767,0.00020486533259101984,0.00019844301612227975,2145,2159,-14,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920006,LOW_top,0.0002400623898786,0.0,,,[*]COC([*])=O,38,1.3,1.42,LOW,[*]COC([*])=O,-3.619675874710083,0.0002400623898786,cached_polybert_ridge_exact,True,7,4,150,152,19146,LOW,19146,[*]COC([*])=O,-3.619675874710083,-3.6197359363584987,-3.6788349108404477,0.00024002919225245333,0.00020949086459863176,2132,2151,-19,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920005,LOW_top,0.0002608927103562,0.0,,,[*]CNCCOCC([*])=O,19,1.3,1.42,LOW,[*]CNCCOCC([*])=O,-3.583538055419922,0.0002608927103562,cached_polybert_ridge_exact,True,6,8,150,152,351,LOW,351,[*]CNCCOCC([*])=O,-3.583538055419922,-3.5835796642596973,-3.5892639609870365,0.00026086771597235765,0.0002574755763746269,2128,2141,-13,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920004,LOW_top,0.0002683053906322,0.0,,,[*]COCCOC([*])=O,22,1.3,1.42,LOW,[*]COCCOC([*])=O,-3.5713706016540527,0.0002683053906322,cached_polybert_ridge_exact,True,5,7,150,154,6081,LOW,6081,[*]COCCOC([*])=O,-3.5713706016540527,-3.5714001610663066,-3.6262209636922536,0.0002682871295673016,0.0002364716252810207,2126,2143,-17,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920003,LOW_top,0.0002797798573438,0.0,,,[*]CNCC([*])=O,30,1.3,1.42,LOW,[*]CNCC([*])=O,-3.553183555603028,0.0002797798573438,cached_polybert_ridge_exact,True,4,5,150,150,1380,LOW,1380,[*]CNCC([*])=O,-3.553183555603028,-3.5531836798912115,-3.56396200027893,0.0002797797772752768,0.00027292165722372745,2120,2138,-18,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920002,LOW_top,0.0003023476925763,0.0,,,[*]COCCOCC([*])=O,19,1.3,1.42,LOW,[*]COCCOCC([*])=O,-3.519493341445923,0.0003023476925763,cached_polybert_ridge_exact,True,3,8,150,152,30362,LOW,30362,[*]COCCOCC([*])=O,-3.519493341445923,-3.5195247470446196,-3.430817416085714,0.00030232582937667307,0.00037083659428122046,2114,2113,1,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920001,LOW_top,0.000447844104618,0.0,,,[*]OCC([*])=O,38,1.3,1.42,LOW,[*]OCC([*])=O,-3.3488731384277344,0.000447844104618,cached_polybert_ridge_exact,True,2,4,150,152,23616,LOW,23616,[*]OCC([*])=O,-3.3488731384277344,-3.348984533781947,-3.23676006543046,0.00044772924855321995,0.0005797489017052617,1995,1962,33,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
920000,LOW_top,0.0005386324155026,0.0,,,[*]NCC([*])=O,38,1.3,1.42,LOW,[*]NCC([*])=O,-3.268707513809204,0.0005386324155026,cached_polybert_ridge_exact,True,1,4,150,152,11256,LOW,11256,[*]NCC([*])=O,-3.268707513809204,-3.2688151995434476,-3.3862597353501416,0.0005384988751536899,0.0004109039012887286,1823,2094,-271,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
